t 	I 	u 	w 	Ce
0.0159 	86.6794 	200 	2.58762 	163.356
0.016 	87.8223 	200 	2.67038 	165.558
0.0161 	88.9554 	200 	2.75424 	167.741
0.0162 	90.0788 	200 	2.83918 	169.905
0.0163 	91.1926 	200 	2.92519 	172.05
0.0164 	92.2967 	200 	3.01227 	174.178
0.0165 	93.3914 	200 	3.10039 	176.287
0.0166 	94.4765 	200 	3.18957 	178.377
0.0167 	95.5522 	200 	3.27978 	180.45
0.0168 	96.6185 	200 	3.37101 	182.505
0.0169 	97.6755 	200 	3.46327 	184.541
0.017 	98.7231 	200 	3.55653 	186.56
0.0171 	99.7616 	200 	3.65079 	188.561
0.0172 	100.791 	200 	3.74605 	190.545
0.0173 	101.811 	200 	3.84228 	192.511
0.0174 	102.822 	200 	3.93949 	194.459
0.0175 	103.824 	200 	4.03767 	196.39
0.0176 	104.817 	200 	4.1368 	198.304
0.0177 	105.801 	200 	4.23688 	200.2
0.0178 	106.776 	200 	4.3379 	202.08
0.0179 	107.742 	200 	4.43985 	203.942
0.018 	108.7 	200 	4.54272 	205.788
0.0181 	109.649 	200 	4.6465 	207.617
0.0182 	110.589 	200 	4.7512 	209.429
0.0183 	111.52 	200 	4.85678 	211.225
0.0184 	112.443 	200 	4.96326 	213.004
0.0185 	113.357 	200 	5.07062 	214.766
0.0186 	114.263 	200 	5.17885 	216.512
0.0187 	115.16 	200 	5.28795 	218.242
0.0188 	116.049 	200 	5.3979 	219.956
0.0189 	116.929 	200 	5.5087 	221.654
0.019 	117.802 	200 	5.62034 	223.335
0.0191 	118.665 	200 	5.73281 	225.001
0.0192 	119.521 	200 	5.84611 	226.651
0.0193 	120.369 	200 	5.96022 	228.285
0.0194 	121.208 	200 	6.07514 	229.904
0.0195 	122.039 	200 	6.19087 	231.507
0.0196 	122.862 	200 	6.30738 	233.094
0.0197 	123.677 	200 	6.42468 	234.667
0.0198 	124.484 	200 	6.54276 	236.224
0.0199 	125.284 	200 	6.66161 	237.765
0.02 	126.075 	200 	6.78123 	239.292
0.0201 	126.859 	200 	6.90159 	240.803
0.0202 	127.634 	200 	7.02271 	242.3
0.0203 	128.402 	200 	7.14456 	243.781
0.0204 	129.163 	200 	7.26715 	245.248
0.0205 	129.915 	200 	7.39047 	246.7
0.0206 	130.66 	200 	7.5145 	248.138
0.0207 	131.398 	200 	7.63924 	249.561
0.0208 	132.128 	200 	7.76469 	250.969
0.0209 	132.85 	200 	7.89083 	252.364
0.021 	133.565 	200 	8.01766 	253.743
0.0211 	134.273 	200 	8.14518 	255.109
0.0212 	134.973 	200 	8.27337 	256.461
0.0213 	135.666 	200 	8.40222 	257.798
0.0214 	136.351 	200 	8.53174 	259.121
0.0215 	137.03 	200 	8.66192 	260.431
0.0216 	137.701 	200 	8.79274 	261.727
0.0217 	138.365 	200 	8.9242 	263.009
0.0218 	139.022 	200 	9.05629 	264.277
0.0219 	139.672 	200 	9.18901 	265.532
0.022 	140.315 	200 	9.32235 	266.773
0.0221 	140.95 	200 	9.45631 	268.001
0.0222 	141.579 	200 	9.59087 	269.215
0.0223 	142.201 	200 	9.72603 	270.416
0.0224 	142.816 	200 	9.86178 	271.604
0.0225 	143.425 	200 	9.99812 	272.779
0.0226 	144.026 	200 	10.135 	273.941
0.0227 	144.621 	200 	10.2725 	275.09
0.0228 	145.209 	200 	10.4106 	276.226
0.0229 	145.79 	200 	10.5492 	277.349
0.023 	146.365 	200 	10.6884 	278.459
0.0231 	146.933 	200 	10.8281 	279.557
0.0232 	147.495 	200 	10.9684 	280.642
0.0233 	148.05 	200 	11.1092 	281.715
0.0234 	148.598 	200 	11.2505 	282.775
0.0235 	149.14 	200 	11.3924 	283.823
0.0236 	149.676 	200 	11.5348 	284.858
0.0237 	150.205 	200 	11.6776 	285.881
0.0238 	150.728 	200 	11.821 	286.892
0.0239 	151.245 	200 	11.9649 	287.891
0.024 	151.756 	200 	12.1093 	288.878
0.0241 	152.26 	200 	12.2542 	289.853
0.0242 	152.758 	200 	12.3995 	290.816
0.0243 	153.25 	200 	12.5453 	291.768
0.0244 	153.736 	200 	12.6916 	292.707
0.0245 	154.215 	200 	12.8384 	293.635
0.0246 	154.689 	200 	12.9856 	294.551
0.0247 	155.157 	200 	13.1332 	295.456
0.0248 	155.619 	200 	13.2814 	296.349
0.0249 	156.074 	200 	13.4299 	297.231
0.025 	156.524 	200 	13.5789 	298.102
0.0251 	156.968 	200 	13.7283 	298.961
0.0252 	157.406 	200 	13.8781 	299.809
0.0253 	157.839 	200 	14.0284 	300.646
0.0254 	158.266 	200 	14.1791 	301.472
0.0255 	158.687 	200 	14.3301 	302.287
0.0256 	159.102 	200 	14.4816 	303.091
0.0257 	159.511 	200 	14.6335 	303.885
0.0258 	159.915 	200 	14.7857 	304.667
0.0259 	160.314 	200 	14.9384 	305.439
0.026 	160.707 	200 	15.0914 	306.2
0.0261 	161.094 	200 	15.2448 	306.95
0.0262 	161.476 	200 	15.3986 	307.69
0.0263 	161.852 	200 	15.5527 	308.419
0.0264 	162.223 	200 	15.7072 	309.138
0.0265 	162.589 	200 	15.862 	309.847
0.0266 	162.949 	200 	16.0172 	310.545
0.0267 	163.304 	200 	16.1728 	311.233
0.0268 	163.654 	200 	16.3286 	311.911
0.0269 	163.999 	200 	16.4848 	312.579
0.027 	164.338 	200 	16.6414 	313.237
0.0271 	164.672 	200 	16.7982 	313.885
0.0272 	165.001 	200 	16.9554 	314.523
0.0273 	165.324 	200 	17.1129 	315.151
0.0274 	165.643 	200 	17.2707 	315.77
0.0275 	165.957 	200 	17.4288 	316.378
0.0276 	166.265 	200 	17.5872 	316.977
0.0277 	166.569 	200 	17.7459 	317.567
0.0278 	166.868 	200 	17.9049 	318.147
0.0279 	167.161 	200 	18.0642 	318.717
0.028 	167.45 	200 	18.2237 	319.278
0.0281 	167.734 	200 	18.3835 	319.83
0.0282 	168.013 	200 	18.5436 	320.372
0.0283 	168.287 	200 	18.704 	320.905
0.0284 	168.557 	200 	18.8646 	321.429
0.0285 	168.822 	200 	19.0255 	321.944
0.0286 	169.082 	200 	19.1866 	322.449
0.0287 	169.337 	200 	19.348 	322.946
0.0288 	169.588 	200 	19.5096 	323.434
0.0289 	169.834 	200 	19.6715 	323.913
0.029 	170.075 	200 	19.8336 	324.383
0.0291 	170.312 	200 	19.9959 	324.844
0.0292 	170.544 	200 	20.1584 	325.296
0.0293 	170.772 	200 	20.3212 	325.74
0.0294 	170.996 	200 	20.4842 	326.175
0.0295 	171.215 	200 	20.6474 	326.602
0.0296 	171.429 	200 	20.8108 	327.02
0.0297 	171.639 	200 	20.9744 	327.429
0.0298 	171.845 	200 	21.1382 	327.831
0.0299 	172.046 	200 	21.3022 	328.224
0.03 	172.243 	200 	21.4664 	328.608
0.0301 	172.436 	200 	21.6308 	328.985
0.0302 	172.625 	200 	21.7954 	329.353
0.0303 	172.809 	200 	21.9601 	329.713
0.0304 	172.989 	200 	22.125 	330.065
0.0305 	173.165 	200 	22.2901 	330.409
0.0306 	173.337 	200 	22.4554 	330.745
0.0307 	173.504 	200 	22.6208 	331.073
0.0308 	173.668 	200 	22.7864 	331.393
0.0309 	173.827 	200 	22.9521 	331.705
0.031 	173.983 	200 	23.118 	332.01
0.0311 	174.134 	200 	23.2841 	332.307
0.0312 	174.282 	200 	23.4503 	332.596
0.0313 	174.425 	200 	23.6166 	332.878
0.0314 	174.565 	200 	23.783 	333.152
0.0315 	174.7 	200 	23.9496 	333.419
0.0316 	174.832 	200 	24.1163 	333.678
0.0317 	174.96 	200 	24.2832 	333.929
0.0318 	175.084 	200 	24.4502 	334.174
0.0319 	175.204 	200 	24.6172 	334.411
0.032 	175.321 	200 	24.7844 	334.64
0.0321 	175.434 	200 	24.9517 	334.863
0.0322 	175.543 	200 	25.1192 	335.078
0.0323 	175.648 	200 	25.2867 	335.287
0.0324 	175.75 	200 	25.4543 	335.488
0.0325 	175.848 	200 	25.622 	335.682
0.0326 	175.942 	200 	25.7898 	335.869
0.0327 	176.033 	200 	25.9577 	336.05
0.0328 	176.12 	200 	26.1257 	336.223
0.0329 	176.204 	200 	26.2938 	336.39
0.033 	176.284 	200 	26.4619 	336.549
0.0331 	176.361 	200 	26.6301 	336.703
0.0332 	176.434 	200 	26.7984 	336.849
0.0333 	176.504 	200 	26.9668 	336.989
0.0334 	176.57 	200 	27.1352 	337.122
0.0335 	176.633 	200 	27.3037 	337.248
0.0336 	176.692 	200 	27.4722 	337.368
0.0337 	176.748 	200 	27.6408 	337.482
0.0338 	176.801 	200 	27.8095 	337.589
0.0339 	176.851 	200 	27.9782 	337.69
0.034 	176.897 	200 	28.147 	337.785
0.0341 	176.94 	200 	28.3157 	337.873
0.0342 	176.979 	200 	28.4846 	337.955
0.0343 	177.016 	200 	28.6535 	338.031
0.0344 	177.049 	200 	28.8224 	338.1
0.0345 	177.079 	200 	28.9913 	338.164
0.0346 	177.106 	200 	29.1603 	338.221
0.0347 	177.13 	200 	29.3293 	338.273
0.0348 	177.151 	200 	29.4983 	338.318
0.0349 	177.168 	200 	29.6673 	338.358
0.035 	177.183 	200 	29.8363 	338.391
0.0351 	177.194 	200 	30.0054 	338.419
0.0352 	177.203 	200 	30.1745 	338.441
0.0353 	177.208 	200 	30.3436 	338.457
0.0354 	177.211 	200 	30.5126 	338.468
0.0355 	177.21 	200 	30.6817 	338.473
0.0356 	177.207 	200 	30.8508 	338.472
0.0357 	177.201 	200 	31.0199 	338.465
0.0358 	177.192 	200 	31.189 	338.453
0.0359 	177.18 	200 	31.358 	338.436
0.036 	177.165 	200 	31.5271 	338.413
0.0361 	177.147 	200 	31.6961 	338.385
0.0362 	177.126 	200 	31.8651 	338.351
0.0363 	177.103 	200 	32.0341 	338.312
0.0364 	177.077 	200 	32.2031 	338.267
0.0365 	177.048 	200 	32.372 	338.217
0.0366 	177.017 	200 	32.541 	338.162
0.0367 	176.982 	200 	32.7098 	338.102
0.0368 	176.946 	200 	32.8787 	338.037
0.0369 	176.906 	200 	33.0475 	337.966
0.037 	176.864 	200 	33.2163 	337.89
0.0371 	176.819 	200 	33.385 	337.81
0.0372 	176.771 	200 	33.5537 	337.724
0.0373 	176.721 	200 	33.7224 	337.633
0.0374 	176.669 	200 	33.891 	337.538
0.0375 	176.614 	200 	34.0595 	337.437
0.0376 	176.556 	200 	34.228 	337.332
0.0377 	176.496 	200 	34.3965 	337.222
0.0378 	176.433 	200 	34.5648 	337.107
0.0379 	176.368 	200 	34.7332 	336.987
0.038 	176.3 	200 	34.9014 	336.863
0.0381 	176.23 	200 	35.0696 	336.734
0.0382 	176.158 	200 	35.2377 	336.6
0.0383 	176.083 	200 	35.4058 	336.462
0.0384 	176.006 	200 	35.5738 	336.319
0.0385 	175.926 	200 	35.7417 	336.171
